wavelength(nm), irradiance (watts/m^2/nm)
174.88, 9.436808929178055E-4
174.885, 9.454794464754939E-4
174.89, 9.472088614548872E-4
174.895, 9.487789588377663E-4
174.9, 9.500995596058862E-4
174.905, 9.510804847410287E-4
174.91, 9.516315552249666E-4
174.915, 9.516625920394728E-4
174.92, 9.5108341616632E-4
174.925, 9.498038485872718E-4
174.93, 9.477836467194718E-4
174.935, 9.451823137214733E-4
174.94, 9.422092891871907E-4
174.945, 9.390740127105396E-4
174.95, 9.359859238854344E-4
174.955, 9.331544623057755E-4
174.96, 9.307890675655108E-4
174.965, 9.290991792585389E-4
174.97, 9.282942369787739E-4
174.975, 9.285836803201316E-4
174.98, 9.301769488765267E-4
174.985, 9.332496666476174E-4
174.99, 9.377275392565388E-4
174.995, 9.434242581704271E-4
175.0, 9.501529864877445E-4
175.005, 9.577268873069531E-4
175.01, 9.659591237265154E-4
175.015, 9.74662858844893E-4
175.02, 9.836512557606005E-4
175.025, 9.927374775719965E-4
175.03, 0.001001734687377594
175.035, 0.0010104560482758547
175.04, 0.0010187233768950126
175.045, 0.0010264879723087654
175.05, 0.0010338008094337718
175.055, 0.0010407154271953882
175.06, 0.001047285364519097
175.065, 0.0010535641603303379
175.07, 0.0010596053535545497
175.075, 0.001065462483117172
175.08, 0.001071189087943677
175.085, 0.0010768387069594386
175.09, 0.0010824648790899295
175.095, 0.0010881155917220893
175.1, 0.0010937557647779
175.105, 0.0010992863726803285
175.11, 0.0011046067449520752
175.115, 0.0011096162111157498
175.12, 0.0011142141006940537
175.125, 0.0011182997432096582
175.13, 0.0011217724681852337
175.135, 0.001124531605143451
175.14, 0.0011264764836069806
175.145, 0.0011275064330984966
175.15, 0.0011275286353686625
175.155, 0.001126567764764979
175.16, 0.001124738941668623
175.165, 0.001122159613046848
175.17, 0.0011189472258669084
175.175, 0.001115219227096034
175.18, 0.0011110930637015222
175.185, 0.001106686182650606
175.19, 0.0011021160309105387
175.195, 0.001097500055448574
175.2, 0.0010929557032319656
175.205, 0.0010885974518612172
175.21, 0.001084495348412587
175.215, 0.0010806852372566515
175.22, 0.001077202082951651
175.225, 0.0010740808500558253
175.23, 0.0010713565031274142
175.235, 0.0010690640067246462
175.24, 0.0010672383254057866
175.245, 0.0010659144237290623
175.25, 0.0010651272662527123
175.255, 0.001064911817534977
175.26, 0.0010652976793212039
175.265, 0.0010662342097860602
175.27, 0.0010676089954446133
175.275, 0.0010693080338303076
175.28, 0.0010712173224766107
175.285, 0.0010732228589169833
175.29, 0.001075210640684886
175.295, 0.0010770666653137798
175.3, 0.0010786769303371333
175.305, 0.0010799274332883885
175.31, 0.001080704171701016
175.315, 0.001080912747420057
175.32, 0.001080603650405819
175.325, 0.0010798923099007186
175.33, 0.0010788944614645347
175.335, 0.0010777258406570634
175.34, 0.001076502183038085
175.345, 0.0010753392241673841
175.35, 0.0010743526996047459
175.355, 0.0010736583449099542
175.36, 0.0010733718956427941
